work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
"Enterprise in-house (1,000+)",Designer (Individual contributor),South Asia,,I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Agent workflows & automations",About half,"Yes, once or twice",Exploration and brainstorming only,"Too many tools, unclear which to commit, Time to learn new tools, Budget or procurement friction",AI is now central — major shift,Honestly not sure,9.0
Independent or freelance,"Non-designer who designs (e.g. PM, founder)",Southeast Asia,"Nanobanana, Figma, ChatGPT, Claude, Gemini, Perplexity, Notion, Discord, Google Meet, Loom, Slack, Framer, Squarespace, FigJam",Code isn't part of my workflow,"Image generation, Simplifying my stack, AI-generated coding",None,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit to","Added new tools, AI included","More valuable, my skills matter more than before",7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Australia & New Zealand,"Figma, ChatGPT, Claude Cowork",I review or inspect code but don't write it,"Design systems & tokens, Simplifying my stack, Canvas design tools",None,"Yes, once or twice",First drafts I heavily edit,"Too many tools, unclear which to commit, Security or compliance policy",Consolidated into fewer tools,About the same,7.0
Mid-size in-house (101–999),Designer (Individual contributor),South Asia,"FigJam, Miro, Framer, Notion, Jira, Figma, Lovable, v0 (Vercel), Claude Code, Google Antigravity, Banani, Figma Make","I use AI or no-code to generate code, Code isn't part of my workflow","AI-generated coding, No-code tools (not AI), Design systems & tokens",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction, Too many tools, unclear which to commit to","Still in flux, changing often","Less secure, AI is changing what's expected of me",8.0
"Student, educator, or between roles",Designer (Individual contributor),North America,"Figma, FigJam, Cursor, Nanobanana, Gemini, Jitter, Google Slides, Microsoft Teams, Framer",I use AI or no-code to generate code,"AI-generated coding, Video, motion, & 3D, Design systems & tokens",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Engineering team constraints, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Still in flux, changing often","Less secure, AI is changing what's expected of me",3.0
Mid-size in-house (101–999),Design manager or director,Western Europe,"v0 (Vercel), Claude Code, Figma, Claude, Gemini, Jira, Google Meet, Slack, Hotjar",Code isn't part of my workflow,"AI-generated coding, Design systems & tokens, Agent workflows & automations",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Engineering team constraints, Too many tools, unclear which to commit","Added new tools, AI included",Honestly not sure,6.0
"Enterprise in-house (1,000+)",Lead or principal,Western Europe,"Claude Cowork, Claude Code, Cursor, Google Antigravity, Figma, Claude, Spline, Notion, Keynote, Microsoft Teams, Framer, FigJam",I hand-code prototypes but not production,"AI-generated coding, Agent workflows & automations, Simplifying my stack",Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",2.0
Startup in-house (2–100),Designer (Individual contributor),East Africa,"Figma, Lovable, Subframe",Code isn't part of my workflow,AI-generated coding,None,"No, but I want to",Ships with minor tweaks,"Security or compliance policy, Engineering team constraints",Consolidated into fewer tools,About the same,9.0
Agency or consulting,Designer (Individual contributor),Southeast Asia,"Lovable, Nanobanana, Figma, Claude, ChatGPT, Copilot (Microsoft), Trello, Notion, PowerPoint, Microsoft Teams, Google Meet, Maze, Framer, FigJam, Miro",Code isn't part of my workflow,"AI-generated coding, Agent workflows & automations, Design systems & tokens",None,"No, but I want to",First drafts I heavily edit,"Security or compliance policy, AI output quality isn't reliable enough, Time to learn new tools","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Startup in-house (2–100),Design engineer,Western Europe,"Claude Code, Cursor, Figma, Figma Make, Vibecode, ChatGPT, Gemini, Jitter, LottieFiles, Jira, Notion, Todoist, Google Meet, Slack, Webflow",I use AI or no-code to generate code,AI-generated coding,Most of it,"Yes, once or twice",Ships with minor tweaks,"Engineering team constraints, AI output quality isn't reliable enough",AI is now central — major shift,"Less secure, AI is changing what's expected of me",2.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude Cowork, Replit, Magic Patterns, v0 (Vercel), Cursor, FLORA, Figma, Paper, Pencil.dev, Storybook, ChatGPT, Claude, Gemini, Grok, Spline, LottieFiles, ClickUp, Jira, Linear, Notion, Obsidian, Trello, Google Slides, Discord, Loom, Slack, Zoom, Google Meet, Framer, FigJam, Lucidchart, Miro, Mermaid Charts, Zapier, Midjourney, Nanobanana, After Effects","I hand-code prototypes but not production, I use AI or no-code to generate code, I write production code","Agent workflows & automations, Video, motion, & 3D, AI-generated coding",Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Too many tools, unclear which to commit, AI output quality isn't reliable enough, Engineering team constraints",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Agency or consulting,Designer (Individual contributor),North America,"Figma, Figma Make, ChatGPT",Code isn't part of my workflow,"AI-generated coding, Canvas design tools, Design systems & tokens",None,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough","Added new tools, AI included",Honestly not sure,8.0
"Enterprise in-house (1,000+)",Lead or principal,North America,"Replit, Cursor, Figma Make, Figma, ChatGPT, Claude, Jira, Trello, Slack, Zoom, Loom, FigJam, confluence",I use AI or no-code to generate code,"Agent workflows & automations, AI-generated coding",Most of it,"Yes, once or twice",Working output I review before shipping,"Time to learn new tools, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",3.0
Independent or freelance,Designer (Individual contributor),South Asia,"Figma, Claude Code",I use AI or no-code to generate code,"AI-generated coding, Image generation, Design systems & tokens",About half,"No, but I want to",First drafts I heavily edit,"Too many tools, unclear which to commit, Time to learn new tools, Budget or procurement friction",AI is now central — major shift,"More valuable, my skills matter more than before",6.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Figma, FigJam, ChatGPT",Code isn't part of my workflow,"AI-generated coding, Video, motion, & 3D, No-code tools (not AI)",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit",Mostly the same,Honestly not sure,4.0
"Enterprise in-house (1,000+)",Lead or principal,Southeast Asia,"Lovable, Claude Code, Figma Make, Figma, Claude, ChatGPT, Gemini, Jira, Notion, Google Slides, PowerPoint, Microsoft Teams, Hotjar, Framer, FigJam",Code isn't part of my workflow,"AI-generated coding, Agent workflows & automations, Design systems & tokens",None,"Yes, I build personal tools regularly",Working output I review before shipping,"Budget or procurement friction, Engineering team constraints, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",9.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Figma, ChatGPT, Claude, Jira, Notion, Microsoft Teams, Framer, FigJam, Lyssna, Storybook","I hand-code prototypes but not production, I use AI or no-code to generate code, I review or inspect code but don't write it","No-code tools (not AI), Canvas design tools, Agent workflows & automations",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Security or compliance policy, AI output quality isn't reliable enough, Budget or procurement friction","Added new tools, AI included","More valuable, my skills matter more than before",7.0
"Enterprise in-house (1,000+)",Lead or principal,South Asia,"Figma Make, Claude Code, Google Antigravity, Lovable",I use AI or no-code to generate code,"Agent workflows & automations, Design systems & tokens, AI-generated coding",Most of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, Security or compliance policy, AI output quality isn't reliable enough",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Claude Cowork, Make, Perplexity Computer, Figma Make, Figma, ChatGPT, Claude, Copilot (Microsoft), Perplexity, Notion, Microsoft Teams, Hotjar, Framer","I use AI or no-code to generate code, Code isn't part of my workflow","AI-generated coding, No-code tools (not AI), Agent workflows & automations",None,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, Budget or procurement friction, Security or compliance policy","Added new tools, AI included","More valuable, my skills matter more than before",9.0
